match_id,season,date,city,venue,teams,team_1,team_2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,result,method
625,2013,2013-05-14,Chennai,"MA Chidambaram Stadium, Chepauk","['Chennai Super Kings', 'Delhi Daredevils']",CSK,DC,CSK,bat,CSK,33.0,,['MS Dhoni'],0,0
608,2013,2013-05-14,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Kings XI Punjab']",RCB,KXIP,KXIP,field,KXIP,,7.0,['AC Gilchrist'],0,0
624,2013,2013-05-15,Ranchi,JSCA International Stadium Complex,"['Kolkata Knight Riders', 'Pune Warriors']",KKR,PW,KKR,field,PW,7.0,,['MK Pandey'],0,0
626,2013,2013-05-15,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Rajasthan Royals']",MI,RR,RR,field,MI,14.0,,['AP Tare'],0,0
591,2013,2013-05-16,Dharamsala,Himachal Pradesh Cricket Association Stadium,"['Kings XI Punjab', 'Delhi Daredevils']",KXIP,DC,DC,field,KXIP,7.0,,['DA Miller'],0,0
628,2013,2013-05-17,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Sunrisers Hyderabad', 'Rajasthan Royals']",SRH,RR,SRH,bat,SRH,23.0,,['A Mishra'],0,0
631,2013,2013-05-18,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Chennai Super Kings']",RCB,CSK,CSK,field,RCB,24.0,,['V Kohli'],0,0
629,2013,2013-05-18,Dharamsala,Himachal Pradesh Cricket Association Stadium,"['Kings XI Punjab', 'Mumbai Indians']",KXIP,MI,MI,field,KXIP,50.0,,['Azhar Mahmood'],0,0
632,2013,2013-05-19,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Sunrisers Hyderabad', 'Kolkata Knight Riders']",SRH,KKR,KKR,bat,SRH,,5.0,['PA Patel'],0,0
630,2013,2013-05-19,Pune,Subrata Roy Sahara Stadium,"['Pune Warriors', 'Delhi Daredevils']",PW,DC,PW,bat,PW,38.0,,['LJ Wright'],0,0
633,2013,2013-05-21,Delhi,Feroz Shah Kotla,"['Chennai Super Kings', 'Mumbai Indians']",CSK,MI,CSK,bat,CSK,48.0,,['MEK Hussey'],0,0
634,2013,2013-05-22,Delhi,Feroz Shah Kotla,"['Rajasthan Royals', 'Sunrisers Hyderabad']",RR,SRH,SRH,bat,RR,,4.0,['BJ Hodge'],0,0
